Corpo_celeste,Altitudine,Microrganismo,Abitabile
Venere,0,Bacillus stratosphericus,False
Venere,0,Methanobrevibacter arboriphilus,False
Venere,0,Aerococcus viridans,False
Venere,0,Micrococcus luteus,False
Venere,0,Paracoccus yeei,False
Venere,0,Rhodococcus erythropolis,False
Venere,0,Pseudomonas aeruginosa,False
Venere,0,Acinetobacter radioresistens,False
Venere,0,Bacillus pumilus,False
Venere,50,Deinococcus aerius,False
Venere,50,Bacillus stratosphericus,False
Venere,50,Methanobrevibacter arboriphilus,False
Venere,50,Aerococcus viridans,False
Venere,50,Micrococcus luteus,False
Venere,50,Paracoccus yeei,False
Venere,50,Rhodococcus erythropolis,False
Venere,50,Pseudomonas aeruginosa,False
Venere,50,Acinetobacter radioresistens,False
Venere,50,Bacillus pumilus,False
Titano,0,Deinococcus aerius,False
Titano,0,Bacillus stratosphericus,False
Titano,0,Methanobrevibacter arboriphilus,False
Titano,0,Aerococcus viridans,False
Titano,0,Micrococcus luteus,False
Titano,0,Paracoccus yeei,False
Titano,0,Rhodococcus erythropolis,False
Titano,0,Pseudomonas aeruginosa,False
Titano,0,Acinetobacter radioresistens,False
Titano,0,Bacillus pumilus,False
Titano,100,Deinococcus aerius,False
Titano,100,Bacillus stratosphericus,False
Titano,100,Methanobrevibacter arboriphilus,False
Titano,100,Aerococcus viridans,False
Titano,100,Micrococcus luteus,False
Titano,100,Paracoccus yeei,False
Titano,100,Rhodococcus erythropolis,False
Titano,100,Pseudomonas aeruginosa,False
Titano,100,Acinetobacter radioresistens,False
Titano,100,Bacillus pumilus,False
Europa,0,Deinococcus aerius,False
Europa,0,Bacillus stratosphericus,False
Europa,0,Methanobrevibacter arboriphilus,False
Europa,0,Aerococcus viridans,False
Europa,0,Micrococcus luteus,False
Europa,0,Paracoccus yeei,False
Europa,0,Rhodococcus erythropolis,False
Europa,0,Pseudomonas aeruginosa,False
Europa,0,Acinetobacter radioresistens,False
Europa,0,Bacillus pumilus,False
Europa,10,Deinococcus aerius,False
Europa,10,Bacillus stratosphericus,False
Europa,10,Methanobrevibacter arboriphilus,False
Europa,10,Aerococcus viridans,False
Europa,10,Micrococcus luteus,False
Europa,10,Paracoccus yeei,False
Europa,10,Rhodococcus erythropolis,False
Europa,10,Pseudomonas aeruginosa,False
Europa,10,Acinetobacter radioresistens,False
Europa,10,Bacillus pumilus,False
